Sample,X(ms) [19.04.2023 15:47:13 820 UTC],"HMI_User.FT_Data.Force_X","HMI_User.FT_Data.Force_Y","HMI_User.FT_Data.Force_Z","HMI_User.FT_Data.Torque_X","HMI_User.FT_Data.Torque_Y","HMI_User.FT_Data.Torque_Z","DeltaPicker.TcpInWcs.z.Position(mm)"
4804,1681919233819.995748,17.8880004882813,1.03999996185303,16.8479995727539,-1.00800001621246,0.544000029563904,1.10800004005432,145.472
4805,1681919233823.995748,17.8880004882813,1.03999996185303,16.8479995727539,-1.00800001621246,0.544000029563904,1.10800004005432,145.472
4806,1681919233827.995748,17.4720001220703,1.03999996185303,16.8479995727539,-1.01199996471405,0.512000024318695,1.07200002670288,145.472
4807,1681919233831.995748,17.4720001220703,1.03999996185303,16.8479995727539,-1.01199996471405,0.512000024318695,1.07200002670288,145.472
4808,1681919233835.995748,17.4720001220703,1.03999996185303,16.8479995727539,-1.01199996471405,0.512000024318695,1.07200002670288,145.472
4809,1681919233839.995748,17.4720001220703,1.66400003433228,17.0559997558594,-1.10000002384186,0.547999978065491,1.09599995613098,145.472
4810,1681919233843.995748,17.4720001220703,1.66400003433228,17.0559997558594,-1.10000002384186,0.547999978065491,1.09599995613098,145.472
4811,1681919233847.995748,17.4720001220703,1.4559999704361,17.0559997558594,-1.08399999141693,0.547999978065491,1.10000002384186,145.472
4812,1681919233851.995748,17.6800003051758,1.03999996185303,16.6399993896484,-1.01999998092651,0.523999989032745,1.10000002384186,145.472
4813,1681919233855.995748,17.8880004882813,1.03999996185303,16.2240009307861,-0.987999975681305,0.519999980926514,1.11199998855591,145.472
4814,1681919233859.995748,17.4720001220703,1.24800002574921,16.6399993896484,-0.995999991893768,0.512000024318695,1.10000002384186,145.472
4815,1681919233863.995748,17.4720001220703,1.24800002574921,16.6399993896484,-0.995999991893768,0.512000024318695,1.10000002384186,145.472
4816,1681919233867.995748,17.4720001220703,1.24800002574921,16.8479995727539,-1.02799999713898,0.515999972820282,1.08399999141693,145.472
4817,1681919233871.995748,17.4720001220703,1.03999996185303,16.8479995727539,-1.07200002670288,0.527999997138977,1.067999958992,145.472
4818,1681919233875.995748,17.6800003051758,1.4559999704361,17.0559997558594,-1.06400001049042,0.527999997138977,1.09599995613098,145.472
4819,1681919233879.995748,17.6800003051758,1.4559999704361,17.0559997558594,-1.06400001049042,0.527999997138977,1.09599995613098,145.472
4820,1681919233883.995748,17.6800003051758,1.03999996185303,17.0559997558594,-1.04799997806549,0.53600001335144,1.10800004005432,145.472
4821,1681919233887.995748,17.8880004882813,1.4559999704361,16.8479995727539,-0.96399998664856,0.495999991893768,1.10800004005432,145.472
4822,1681919233891.995748,17.8880004882813,1.4559999704361,16.8479995727539,-0.96399998664856,0.495999991893768,1.10800004005432,145.472
4823,1681919233895.995748,17.8880004882813,1.4559999704361,16.8479995727539,-0.96399998664856,0.495999991893768,1.10800004005432,145.472
4824,1681919233899.995748,17.6800003051758,1.03999996185303,16.2240009307861,-1.01199996471405,0.540000021457672,1.08800005912781,145.472
4825,1681919233903.995748,17.4720001220703,1.87199997901917,16.431999206543,-1.06400001049042,0.523999989032745,1.067999958992,145.472
4826,1681919233907.995748,17.4720001220703,1.4559999704361,16.8479995727539,-1.08000004291534,0.532000005245209,1.067999958992,145.472
4827,1681919233911.995748,17.8880004882813,1.03999996185303,16.8479995727539,-1.04799997806549,0.527999997138977,1.08399999141693,145.472
4828,1681919233915.995748,17.4720001220703,1.24800002574921,16.6399993896484,-1.00800001621246,0.512000024318695,1.11199998855591,145.472
4829,1681919233919.995748,17.4720001220703,1.24800002574921,16.6399993896484,-1.00800001621246,0.512000024318695,1.11199998855591,145.472
4830,1681919233923.995748,17.6800003051758,1.24800002574921,16.431999206543,-1.00800001621246,0.519999980926514,1.11199998855591,145.472
4831,1681919233927.995748,17.4720001220703,1.03999996185303,17.0559997558594,-1.0440000295639,0.515999972820282,1.08399999141693,145.472
4832,1681919233931.995748,17.4720001220703,1.03999996185303,17.0559997558594,-1.0440000295639,0.515999972820282,1.08399999141693,145.472
4833,1681919233935.995748,17.4720001220703,1.24800002574921,16.8479995727539,-1.067999958992,0.540000021457672,1.07599997520447,145.472
4834,1681919233939.995748,17.6800003051758,1.24800002574921,16.8479995727539,-1.02799999713898,0.540000021457672,1.09200000762939,145.472
4835,1681919233943.995748,17.6800003051758,1.24800002574921,16.8479995727539,-1.02799999713898,0.540000021457672,1.09200000762939,145.472
4836,1681919233947.995748,17.8880004882813,1.24800002574921,16.8479995727539,-0.987999975681305,0.523999989032745,1.10800004005432,145.472
4837,1681919233951.995748,17.4720001220703,1.24800002574921,16.431999206543,-1.00800001621246,0.519999980926514,1.12000000476837,145.472
4838,1681919233955.995748,17.4720001220703,1.4559999704361,17.0559997558594,-1.02799999713898,0.495999991893768,1.10800004005432,145.472
4839,1681919233959.995748,17.2639999389648,1.24800002574921,16.6399993896484,-1.05999994277954,0.523999989032745,1.07599997520447,145.472
4840,1681919233963.995748,17.2639999389648,1.24800002574921,16.6399993896484,-1.05999994277954,0.523999989032745,1.07599997520447,145.472
4841,1681919233967.995748,17.4720001220703,1.66400003433228,16.8479995727539,-1.05599999427795,0.527999997138977,1.05999994277954,145.472
4842,1681919233971.995748,17.4720001220703,1.4559999704361,17.2639999389648,-1.01600003242493,0.53600001335144,1.05999994277954,145.472
4843,1681919233975.995748,17.6800003051758,1.24800002574921,16.6399993896484,-0.995999991893768,0.532000005245209,1.10800004005432,145.472
